Error,ErrorRate,ControlSignal
0.1593,-0.4,-0.28265
0.16507,4.4828,-1.2839
0.16595,-0.4,-0.31249
0.17172,4.4828,-1.3138
0.1726,-0.4,-0.34248
0.17348,-0.4,-0.34775
0.17925,-0.4,-0.37259
0.18013,-0.4,-0.37791
0.18102,-0.4,-0.38324
0.1819,-0.4,-0.38857
0.18278,-0.4,-0.39392
0.18366,-0.4,-0.39927
0.18455,-0.4,-0.40464
0.19031,4.4828,-1.4061
0.1912,-0.4,-0.435
0.19696,-0.4,-0.46001
0.20273,-0.4,-0.48508
0.21338,4.4828,-1.5063
1.0191,799.6,-163.76
1.0249,4.4828,-4.7656
0.99649,-5.2828,-2.709
0.91437,-10.166,-1.4135
0.71994,-24.814,2.2858
0.43762,-29.697,4.3859
0.17971,-19.931,3.4616
0.048758,-10.166,2.0312
-0.023602,-10.166,2.3206
-0.056898,-0.4,0.50109
-0.090195,-5.2828,1.6116
-0.10884,-0.4,0.71064
-0.13726,-5.2828,1.8021
-0.17544,-0.4,0.97984
-0.20873,-5.2828,2.0915
-0.21273,-0.4,1.1331
-0.23138,-0.4,1.2099
-0.25491,-0.4,1.3065
-0.28333,-5.2828,2.3994
-0.30198,-0.4,1.5004
-0.32063,-5.2828,2.5547
-0.32463,-0.4,1.5973
-0.32862,-0.4,1.6166
-0.31798,-0.4,1.5773
-0.30733,-0.4,1.5378
-0.2918,-0.4,1.4787
-0.27627,4.4828,0.4428
-0.26073,-0.4,1.3599
-0.25009,4.4828,0.34333
-0.23944,4.4828,0.30319
-0.23855,-0.4,1.2786
-0.23279,-0.4,1.2579
-0.23679,-0.4,1.2763
-0.24079,-0.4,1.2946
-0.24479,-0.4,1.3131
-0.24391,-0.4,1.312
-0.24791,-0.4,1.3304
-0.24702,-0.4,1.3294
-0.24614,-0.4,1.3283
-0.24038,-0.4,1.3077
-0.23949,-0.4,1.3066
-0.22884,-0.4,1.2663
-0.22796,-0.4,1.265
-0.21731,-0.4,1.2247
-0.21643,-0.4,1.2233
-0.20578,-0.4,1.1828
-0.2049,-0.4,1.1813
-0.20402,-0.4,1.1798
-0.20313,-0.4,1.1783
-0.19737,-0.4,1.1573
-0.19648,4.4828,0.17915
-0.1956,-0.4,1.1542
-0.19472,4.4828,0.17605
-0.19384,-0.4,1.151
-0.19295,-0.4,1.1494
-0.18719,-0.4,1.1282
-0.18142,-0.4,1.107
-0.17077,-0.4,1.0661
-0.16012,4.4828,0.048623
-0.14948,-0.4,0.98414
-0.13883,-0.4,0.94298
-0.12818,-0.4,0.9017
-0.11753,-0.4,0.86031
-0.10688,-0.4,0.81882
-0.10112,-0.4,0.79677
-0.090469,-0.4,0.75511
-0.089586,-0.4,0.75248
-0.08382,-0.4,0.73027
-0.08782,-0.4,0.74713
-0.086937,-0.4,0.74446
-0.090938,-5.2828,1.7379
-0.085172,-0.4,0.73913
-0.084289,-0.4,0.73645
-0.078523,-0.4,0.71421
-0.077641,-0.4,0.71147
-0.071875,-0.4,0.68915
-0.070992,-0.4,0.68632
-0.065227,-0.4,0.66391
-0.059461,-0.4,0.64146
-0.053695,-0.4,0.61896
-0.052812,-0.4,0.61596
-0.05193,-0.4,0.61296
-0.051047,-0.4,0.60995
-0.050164,-0.4,0.60693
-0.054164,-0.4,0.62345
-0.048398,4.4828,-0.37567
-0.052398,-0.4,0.6174
-0.051516,-0.4,0.61438
-0.050633,-0.4,0.61134
-0.044867,-0.4,0.58874
-0.043984,4.4828,-0.3909
-0.043102,-0.4,0.58256
-0.037336,-0.4,0.55989
-0.03157,4.4828,-0.43939
-0.030687,4.4828,-0.44258
-0.029805,-0.4,0.53076
-0.028922,-0.4,0.52752
-0.028039,-0.4,0.52427
-0.027156,-0.4,0.52101
-0.026273,-0.4,0.51775
-0.0033559,-3.2155,0.78386
-0.011205,1.6469,-0.15714
-0.0095203,1.6213,-0.15864
-0.008121,1.5905,-0.15801
-0.026589,-3.3282,0.89978
-0.030795,1.5137,-0.05148
-0.025671,1.468,-0.062547
-0.030795,-3.4652,0.94485
-0.05598,-3.5201,1.057
-0.06709,1.3034,0.13735
-0.06905,1.2399,0.15856
-0.076549,-3.7103,1.1793
-0.099392,1.1014,0.30925
-0.11808,1.0267,0.40007
-0.12777,-3.9341,1.4322
-0.13338,0.86769,0.49556
-0.15934,-4.0989,1.5942
-0.18615,-4.1852,1.7204
-0.19919,0.60912,0.81567
-0.19848,0.51866,0.83289
-0.20845,0.42654,0.89323
-0.22911,-4.5498,1.9733
-0.25071,-4.6443,2.081
-0.2635,0.1432,1.1773
-0.27724,0.047427,1.2541
-0.28218,-0.048493,1.2958
-0.27831,-0.14426,1.3023
-0.27051,-0.23956,1.2929
-0.25878,-0.3341,1.2675
-0.23822,-0.42757,1.2065
-0.21859,-0.51967,1.1486
-0.19499,-0.61011,1.0743
-0.18205,-0.6986,1.0421
-0.16998,-0.78486,1.0128
-0.15876,-0.86861,0.98631
-0.14836,-0.94958,0.96244
-0.13876,3.8553,-0.035511
-0.1348,-1.1022,0.9415
-0.12668,-1.1733,0.92456
-0.11437,-1.2407,0.88999
-0.097835,3.5787,-0.13899
-0.081909,-1.3633,0.78659
-0.071433,3.4646,-0.22015
-0.061482,-1.4686,0.72733
-0.047126,3.3686,-0.29699
-0.028317,-1.555,0.61284
-0.019654,3.2919,-0.39098
-0.016205,-1.6216,0.57811
0.0016138,3.2356,-0.46455
0.019205,3.2153,-0.53098
0.017092,-1.6825,0.45684
0.024624,3.1907,-0.54814
0.041856,8.0694,-1.5931
0.059075,-1.695,0.29039
0.066571,3.1944,-0.71814
0.064398,-1.6763,0.26406
0.067257,3.2239,-0.72808
0.075203,3.2466,-0.7651
0.088287,3.2746,-0.82384
0.10168,3.3077,-0.88498
0.11055,3.3458,-0.92912
0.11494,-1.494,0.020134
0.12467,3.4366,-1.0061
0.13491,3.4891,-1.0588
0.1457,3.5459,-1.1148
0.15708,3.6071,-1.174
0.16909,3.6724,-1.2368
0.17689,-1.1413,-0.30697
0.18541,-1.0686,-0.35741
0.19467,-0.9924,-0.41161
0.20471,-0.91305,-0.46966
0.21556,-0.83078,-0.53165
0.22725,4.137,-1.5742
0.23492,-0.65855,-0.64807
0.23859,-0.56914,-0.683
0.24316,-0.4779,-0.72196
0.23889,-0.38514,-0.72584
0.23556,-0.29115,-0.73369
0.22828,-0.19622,-0.72589
0.21708,-0.10067,-0.70241
0.19707,-4.8876,0.33295
0.1829,0.091092,-0.60801
0.16481,0.18669,-0.55648
0.15255,0.28169,-0.52802
0.14124,-4.507,0.4735
0.13086,0.46869,-0.48148
0.11652,0.56009,-0.44362
0.10796,0.6497,-0.42846
0.10518,0.73723,-0.43588
0.098373,0.82241,-0.42669
0.087522,-3.9779,0.57585
0.082364,0.98461,-0.39686
0.073102,-3.8217,0.60067
0.074352,1.1342,-0.39625
0.066549,1.2037,-0.37962
0.059419,-3.6135,0.6117
0.052923,1.3309,-0.35174
0.04702,-3.4945,0.63647
0.046549,1.4412,-0.34926
0.036816,1.4894,-0.32038
0.032422,1.533,-0.31184
0.03332,1.5716,-0.32348
0.024811,1.6052,-0.29643
0.016609,1.6336,-0.26951
0.018429,1.6569,-0.28159
0.020452,1.6748,-0.29347
-0.0017882,-3.1954,0.76945
-0.0092842,1.6946,-0.17849
0.0076761,1.6964,-0.24668
0.0002102,-3.1901,0.76044
-0.017088,-3.1991,0.83152
-0.014974,1.6692,-0.15043
-0.0081519,1.6495,-0.17364
-0.021088,-3.2584,0.85981
-0.039185,-3.2886,0.93856
-0.038082,-3.324,0.94159
-0.032477,1.5185,-0.04899
-0.037068,1.4733,-0.021247
-0.056785,-3.4594,1.0446
-0.062377,1.369,0.10196
-0.063656,1.3102,0.11947
-0.070428,1.2472,0.15983
-0.092501,1.1802,0.26238
-0.1055,1.1094,0.32953
-0.10458,1.0351,0.34178
-0.11418,0.95751,0.39681
-0.13923,-4.006,1.491
-0.15533,0.79335,0.59702
-0.16252,0.70733,0.64459
-0.17057,-4.2638,1.6727
-0.18929,-4.354,1.7674
-0.20892,0.43684,0.88978
-0.2246,0.3435,0.97337
-0.23633,0.24905,1.0415
-0.24413,0.15381,1.0942
-0.25288,0.058081,1.1508
-0.25283,-0.037837,1.1723
-0.24885,-0.13363,1.1781
-0.23606,-0.229,1.1484
-0.21446,4.5592,0.10665
-0.19868,-0.41724,1.0409
-0.17895,4.3733,0.005726
-0.16013,4.2827,-0.04971
-0.14709,-0.68888,0.89397
-0.13493,4.1074,-0.11252
-0.1285,-0.85944,0.85645
-0.12289,3.9421,-0.125
-0.12297,3.8638,-0.10781
-0.12869,-1.094,0.90792
-0.13026,-1.1656,0.9298
-0.13253,-1.2334,0.95374
-0.13057,-1.2972,0.95999
-0.12922,-1.357,0.96787
-0.11869,3.4705,-0.038519
-0.10868,3.4196,-0.067213
-0.099154,-1.5094,0.88152
-0.085183,3.3321,-0.14173
-0.071598,-1.5871,0.78854
-0.058348,3.2644,-0.23411
-0.050267,-1.6446,0.7159
-0.032653,-1.6655,0.65003
-0.015218,3.2017,-0.39294
-0.017441,-1.6913,0.59473
-0.00020484,3.1868,-0.44972
0.021896,3.1874,-0.53834
0.024502,-1.6894,0.42635
0.017432,-1.6779,0.45215
0.030038,-1.6611,0.39812
0.052607,-1.639,0.30298
0.055895,-1.6116,0.28378
0.054602,-1.5791,0.28189
0.06831,3.3413,-0.75763
0.087304,3.3838,-0.84288
0.10187,3.4311,-0.91154
0.10716,-1.3998,0.03242
0.12277,3.5394,-1.019
0.13896,-1.2827,-0.12066
0.15578,-1.2179,-0.20241
0.16839,-1.1492,-0.26822
0.18659,-1.0768,-0.35729
